FID	IID	T10	T11	T12
692	693	0.30131568730204694	0.47122824753002807	0.01589927718719681
690	691	0.4001121088473716	0.14270921147664817	0.008217313637772429
682	683	0.2205131970663635	0.48870019186525904	0.011326927474463365
683	684	0.08910746867270725	0.7807141343023447	0.014286053748720353
688	689	0.4287908213408605	0.49549173208831043	0.01995853729762856
686	687	0.1657568047884528	0.5958992029120808	0.015485138132572716
687	688	0.34840153815974273	0.3616476033264234	0.03343941430656986
684	685	0.3971503315594383	0.265552603059638	0.024194149474547996
685	686	0.23921787455300042	0.12363840129012597	0.004589916474610689
689	690	0.12741337123620222	0.7975673274079806	0.0052193630449858305
691	692	0.20054911567755468	0.6880874898759702	0.004259670330756408
693	694	0.6550025446523361	0.1257537074757801	0.048209998270839036
825	826	0.09349838856349481	0.6984662360225348	0.001871998158913907
831	832	0.7352346035629201	0.16414540028778352	0.021011221421382467
843	844	0.3591421544535478	0.13417612451227945	0.02714829106649117
826	827	0.2599523336084156	0.15156747324325254	0.004626338767546895
827	828	0.2086969043665106	0.6198641516141157	0.009958631126445298
832	833	0.2673941287313576	0.35315264960511156	0.01806301174039561
842	843	0.13695590307674813	0.6925646253012141	0.000862643758067948
824	825	0.21313075056916767	0.6369858824831847	0.05580563093543302
829	830	0.21362793506881922	0.7149408013570995	0.02285224386114608
830	831	0.29336327906112986	0.3713053221120361	0.012839365264655884
835	836	0.25692605306292055	0.6080050901417867	0.021509429858473417
989	990	0.2409356490379672	0.6034950230322986	0.02497003419835962
847	848	0.19601973396973482	0.6320363564038909	0.020003956134920738
849	850	0.16081501951074023	0.6352576192117504	0.019899872834454463
846	847	0.32003599962884266	-0.020131217267582734	0.020406634044161123
848	849	0.13404227577317682	0.7889892621569551	0.03808166153718512
834	835	0.15203099080981672	0.4813041672087466	0.0025623938203642675
990	991	0.2672533351243672	0.3744800832338494	0.01964110537704517
985	986	0.36560553232865267	0.41503543929852604	0.005846842273739033
997	998	0.3840075625037833	0.42828633094832175	-0.004724426400308145
850	851	0.3890171400305535	0.44977766266312097	-0.005566212779631607
851	852	0.27906374804153666	0.42943593036764693	0.01619173490891233
836	837	0.3159834780110796	0.28923024727536517	-0.020746265427185936
812	813	0.1403042854823281	0.5935613055542608	0.027766299479370756
996	997	0.1391624653085283	0.7031439964565689	0.004045385430797995
992	993	0.18123585795345606	0.4164386531168462	0.009969480466163957
810	811	0.1364444275725402	0.6999143046505585	0.03196126213295107
811	812	0.40663492880337143	0.3570663965192219	0.006223795912213394
998	999	0.21045120533123274	0.5901403050440048	0.03368910298643572
986	987	0.18888787465318727	0.608237643393566	0.006103502172392392
991	992	0.22432205977397354	0.5075249116997528	-0.009723521656771983
995	996	0.20770964719902288	0.5201613713732902	0.035243986267629715
852	853	0.2283418383133164	0.489457640906953	-0.005269218884972587
993	994	0.3262071184492701	0.5127726390256406	0.02096125356096887
994	995	0.41224206402004493	0.21916609463694176	0.026744779625228615
999	1000	0.12782117812896154	0.6765958853147599	0.036013710616745166
