FID	IID	T24	T25	T26	T53
682	683	0.1891872743502607	0.8108127256497393	0.22561274086394326	0.1891872743502607
684	685	0.35752519980000624	0.6424748001999937	0.14433601912483213	0.35752519980000624
688	689	0.2950808309566308	0.704919169043369	0.13007042968312693	0.2950808309566308
692	693	0.7359370189687312	0.26406298103126885	0.19503361044316397	0.7359370189687312
693	694	0.03649626017868843	0.9635037398213114	0.3763063444119179	0.03649626017868843
691	692	0.3064258008248516	0.6935741991751483	0.2588176330318338	0.3064258008248516
690	691	0.5592292392965784	0.44077076070342136	0.22627948319529223	0.5592292392965784
685	686	0.12004514817283361	0.8799548518271665	0.16485382431731263	0.12004514817283361
689	690	0.4378087398567986	0.5621912601432014	0.34391654996406557	0.4378087398567986
686	687	0.2769537936913338	0.7230462063086659	0.3311721534551431	0.2769537936913338
842	843	0.1675305049659426	0.8324694950340574	0.0877747873258013	0.1675305049659426
825	826	0.383537145721957	0.6164628542780429	0.19508032054472452	0.383537145721957
834	835	0.3986030338263008	0.6013969661736988	0.21571078975519103	0.3986030338263008
835	836	0.677941414976107	0.32205858502389284	0.49432282385325155	0.677941414976107
845	846	0.4374934416890081	0.5625065583109917	0.2313175047086732	0.4374934416890081
850	851	0.5511632581896884	0.4488367418103115	0.18746789337994194	0.5511632581896884
847	848	0.4089185024955958	0.591081497504404	0.2217213242482204	0.4089185024955958
849	850	0.23136627673048887	0.7686337232695112	0.25008523525910886	0.23136627673048887
836	837	0.769989835252099	0.23001016474790104	0.27832331095749613	0.769989835252099
811	812	0.4087322164572883	0.5912677835427116	-0.06235831913990241	0.4087322164572883
991	992	0.5448679520632923	0.45513204793670775	-0.0043394959928299975	0.5448679520632923
995	996	0.4732268533392386	0.5267731466607615	0.5429446195830372	0.4732268533392386
993	994	0.195962017983586	0.8040379820164141	0.2725907135696629	0.195962017983586
810	811	0.7219168271132704	0.27808317288672957	0.447441836649202	0.7219168271132704
986	987	0.37272815568590545	0.6272718443140947	0.03599492625121796	0.37272815568590545
853	854	0.5810439293981424	0.41895607060185747	0.2671427476654259	0.5810439293981424
1003	1004	0.5725594436980106	0.4274405563019894	0.17193352726521471	0.5725594436980106
856	857	0.24404340536534247	0.7559565946346576	0.25297244606163294	0.24404340536534247
988	989	0.12501680527892864	0.8749831947210714	0.23784188137837955	0.12501680527892864
987	988	0.46389921797954814	0.5361007820204517	0.26664528839787627	0.46389921797954814
1000	1001	0.09240092327884894	0.907599076721151	0.26610294781922866	0.09240092327884894
855	856	0.16360667400725826	0.8363933259927416	0.12225393119200954	0.16360667400725826
1001	1002	0.39224799860416315	0.6077520013958367	0.11567923162331684	0.39224799860416315
854	855	0.6347130092536376	0.36528699074636256	0.02022552376517745	0.6347130092536376
1002	1003	0.46001581322490603	0.5399841867750939	0.3503653646544209	0.46001581322490603
1004	1005	0.3544681865936898	0.64553181340631	0.3111546279577351	0.3544681865936898
802	803	0.3539330616207189	0.646066938379281	0.15063183887917553	0.3539330616207189
863	864	0.49446675367583376	0.5055332463241662	0.3609775034442829	0.49446675367583376
804	805	0.5188732195164605	0.4811267804835393	0.2291261106865561	0.5188732195164605
861	862	0.4888704891936026	0.5111295108063973	-0.041038194551565245	0.4888704891936026
864	865	0.37038332624760967	0.62961667375239	0.21322175278251015	0.37038332624760967
803	804	0.6379027096333628	0.36209729036663707	0.07893138387007101	0.6379027096333628
890	891	0.39504880538321946	0.6049511946167806	0.23589247036837172	0.39504880538321946
891	892	0.5581033575996986	0.44189664240030124	0.4011084928525539	0.5581033575996986
1005	1006	0.08499723297917296	0.915002767020827	0.40799578147923254	0.08499723297917296
860	861	0.49026507781545225	0.5097349221845477	0.18808925537823354	0.49026507781545225
